Temp1,Hum1,Temp2,Temp1,Hum1,Temp2,Hum2,Difference
24.78,31.05,41.21,24.78,31.05,41.21,13.44,17.61
24.78,31.05,41.19,24.78,31.05,41.19,13.44,17.61
24.78,31.03,41.18,24.78,31.03,41.18,13.47,17.56
24.78,31.01,41.18,24.78,31.01,41.18,13.49,17.52
24.79,30.98,41.2,24.79,30.98,41.2,13.53,17.45
24.79,30.97,41.22,24.79,30.97,41.22,13.56,17.41
24.79,30.95,41.24,24.79,30.95,41.24,13.59,17.36
24.79,30.95,41.26,24.79,30.95,41.26,13.59,17.36
24.8,30.97,41.26,24.8,30.97,41.26,13.6,17.37
24.8,30.98,41.26,24.8,30.98,41.26,13.59,17.39
24.8,31.02,41.24,24.8,31.02,41.24,13.58,17.44
24.8,31.05,41.22,24.8,31.05,41.22,13.57,17.48
24.8,31.08,41.21,24.8,31.08,41.21,13.56,17.52
24.8,31.08,41.22,24.8,31.08,41.22,13.55,17.53
24.8,31.09,41.24,24.8,31.09,41.24,13.54,17.55
24.8,31.1,41.26,24.8,31.1,41.26,13.52,17.58
24.81,31.07,41.28,24.81,31.07,41.28,13.51,17.56
24.81,31.12,41.29,24.81,31.12,41.29,13.51,17.61
24.81,31.13,41.29,24.81,31.13,41.29,13.5,17.63
24.81,31.14,41.28,24.81,31.14,41.28,13.52,17.62
24.81,31.15,41.26,24.81,31.15,41.26,13.54,17.61
24.81,31.18,41.25,24.81,31.18,41.25,13.59,17.59
24.81,31.18,41.24,24.81,31.18,41.24,13.62,17.56
24.81,31.2,41.25,24.81,31.2,41.25,13.68,17.52
24.81,31.22,41.27,24.81,31.22,41.27,13.72,17.5
24.81,31.21,41.29,24.81,31.21,41.29,13.74,17.47
24.81,31.2,41.31,24.81,31.2,41.31,13.76,17.44
24.8,31.18,41.32,24.8,31.18,41.32,13.78,17.4
24.8,31.17,41.32,24.8,31.17,41.32,13.75,17.42
24.8,31.18,41.31,24.8,31.18,41.31,13.71,17.47
24.8,31.19,41.29,24.8,31.19,41.29,13.66,17.53
24.8,31.19,41.27,24.8,31.19,41.27,13.64,17.55
24.8,31.19,41.27,24.8,31.19,41.27,13.63,17.56
24.8,31.17,41.28,24.8,31.17,41.28,13.63,17.54
24.8,31.18,41.31,24.8,31.18,41.31,13.62,17.56
24.8,31.2,41.33,24.8,31.2,41.33,13.58,17.62
24.8,31.2,41.34,24.8,31.2,41.34,13.54,17.66
24.8,31.22,41.35,24.8,31.22,41.35,13.51,17.71
24.8,31.23,41.34,24.8,31.23,41.34,13.47,17.76
24.8,31.22,41.32,24.8,31.22,41.32,13.44,17.78
24.8,31.14,41.3,24.8,31.14,41.3,13.4,17.74
24.8,31.03,41.27,24.8,31.03,41.27,13.39,17.64
24.8,30.92,41.26,24.8,30.92,41.26,13.38,17.54
24.8,30.82,41.26,24.8,30.82,41.26,13.4,17.42
24.8,30.72,41.27,24.8,30.72,41.27,13.38,17.34
24.81,30.64,41.29,24.81,30.64,41.29,13.38,17.26
24.81,30.59,41.3,24.81,30.59,41.3,13.43,17.16
24.81,30.58,41.29,24.81,30.58,41.29,13.47,17.11
24.81,30.57,41.29,24.81,30.57,41.29,13.52,17.05
24.81,30.6,41.27,24.81,30.6,41.27,13.56,17.04
24.81,30.65,41.25,24.81,30.65,41.25,13.62,17.03
24.81,30.68,41.23,24.81,30.68,41.23,13.65,17.03
24.81,30.73,41.22,24.81,30.73,41.22,13.66,17.07
24.81,30.78,41.24,24.81,30.78,41.24,13.65,17.13
24.81,30.81,41.26,24.81,30.81,41.26,13.63,17.18
24.8,30.83,41.28,24.8,30.83,41.28,13.6,17.23
24.8,30.85,41.29,24.8,30.85,41.29,13.59,17.26
24.8,30.88,41.29,24.8,30.88,41.29,13.58,17.3
24.8,30.91,41.28,24.8,30.91,41.28,13.58,17.33
24.8,30.92,41.27,24.8,30.92,41.27,13.62,17.3
24.8,30.96,41.25,24.8,30.96,41.25,13.64,17.32
24.8,31,41.23,24.8,31,41.23,13.65,17.35
24.8,31.04,41.23,24.8,31.04,41.23,13.65,17.39
24.8,31.07,41.25,24.8,31.07,41.25,13.62,17.45
24.79,31.09,41.27,24.79,31.09,41.27,13.6,17.49
24.79,31.1,41.29,24.79,31.1,41.29,13.58,17.52
24.79,31.11,41.3,24.79,31.11,41.3,13.53,17.58
24.79,31.12,41.3,24.79,31.12,41.3,13.52,17.6
24.78,31.14,41.29,24.78,31.14,41.29,13.51,17.63
24.78,31.14,41.27,24.78,31.14,41.27,13.52,17.62
24.78,31.16,41.25,24.78,31.16,41.25,13.51,17.65
24.78,31.17,41.24,24.78,31.17,41.24,13.51,17.66
24.77,31.2,41.24,24.77,31.2,41.24,13.5,17.7
24.77,31.19,41.25,24.77,31.19,41.25,13.5,17.69
24.77,31.19,41.27,24.77,31.19,41.27,13.49,17.7
24.77,31.16,41.28,24.77,31.16,41.28,13.48,17.68
24.77,31.13,41.29,24.77,31.13,41.29,13.47,17.66
24.77,31.1,41.28,24.77,31.1,41.28,13.48,17.62
24.77,31.05,41.26,24.77,31.05,41.26,13.51,17.54
24.77,31.04,41.24,24.77,31.04,41.24,13.51,17.53
24.77,31.08,41.21,24.77,31.08,41.21,13.53,17.55
24.78,31.09,41.2,24.78,31.09,41.2,13.54,17.55
24.78,31.09,41.2,24.78,31.09,41.2,13.55,17.54
24.78,31.08,41.21,24.78,31.08,41.21,13.58,17.5
24.79,31.07,41.23,24.79,31.07,41.23,13.58,17.49
24.79,31.07,41.24,24.79,31.07,41.24,13.57,17.5
24.79,31.05,41.24,24.79,31.05,41.24,13.53,17.52
24.8,31.06,41.24,24.8,31.06,41.24,13.49,17.57
24.8,31.05,41.22,24.8,31.05,41.22,13.45,17.6
24.8,31.03,41.19,24.8,31.03,41.19,13.42,17.61
24.81,31.01,41.17,24.81,31.01,41.17,13.41,17.6
24.81,31,41.15,24.81,31,41.15,13.43,17.57
24.81,30.99,41.16,24.81,30.99,41.16,13.45,17.54
24.81,30.97,41.18,24.81,30.97,41.18,13.46,17.51
24.81,30.95,41.2,24.81,30.95,41.2,13.47,17.48
24.81,30.98,41.21,24.81,30.98,41.21,13.47,17.51
24.81,30.98,41.21,24.81,30.98,41.21,13.49,17.49
24.82,30.97,41.21,24.82,30.97,41.21,13.52,17.45
24.82,31,41.2,24.82,31,41.2,13.53,17.47
24.82,31,41.18,24.82,31,41.18,13.55,17.45
24.82,31.01,41.16,24.82,31.01,41.16,13.56,17.45
24.82,31.02,41.16,24.82,31.02,41.16,13.56,17.46
24.82,31.02,41.17,24.82,31.02,41.17,13.52,17.5
24.82,30.95,41.19,24.82,30.95,41.19,13.49,17.46
24.82,30.83,41.2,24.82,30.83,41.2,13.45,17.38
24.82,30.66,41.21,24.82,30.66,41.21,13.42,17.24
24.82,30.52,41.21,24.82,30.52,41.21,13.42,17.1
24.82,30.39,41.19,24.82,30.39,41.19,13.43,16.96
24.82,30.33,41.17,24.82,30.33,41.17,13.45,16.88
24.81,30.25,41.13,24.81,30.25,41.13,13.49,16.76
24.81,30.17,41.11,24.81,30.17,41.11,13.55,16.62
24.8,30.11,41.1,24.8,30.11,41.1,13.6,16.51
24.8,30.03,41.1,24.8,30.03,41.1,13.66,16.37
24.79,30.02,41.12,24.79,30.02,41.12,13.69,16.33
24.79,30.02,41.12,24.79,30.02,41.12,13.7,16.32
24.79,30.08,41.13,24.79,30.08,41.13,13.71,16.37
24.79,30.14,41.12,24.79,30.14,41.12,13.74,16.4
24.79,30.2,41.1,24.79,30.2,41.1,13.74,16.46
24.79,30.25,41.08,24.79,30.25,41.08,13.72,16.53
24.79,30.28,41.05,24.79,30.28,41.05,13.69,16.59
24.79,30.29,41.04,24.79,30.29,41.04,13.65,16.64
24.79,30.3,41.04,24.79,30.3,41.04,13.61,16.69
24.79,30.32,41.06,24.79,30.32,41.06,13.56,16.76
24.8,30.36,41.08,24.8,30.36,41.08,13.53,16.83
24.8,30.39,41.1,24.8,30.39,41.1,13.47,16.92
24.8,30.43,41.1,24.8,30.43,41.1,13.43,17
24.81,30.42,41.1,24.81,30.42,41.1,13.4,17.02
24.81,30.39,41.09,24.81,30.39,41.09,13.4,16.99
24.82,30.36,41.06,24.82,30.36,41.06,13.42,16.94
24.82,30.33,41.04,24.82,30.33,41.04,13.48,16.85
24.82,30.31,41.04,24.82,30.31,41.04,13.5,16.81
24.82,30.33,41.05,24.82,30.33,41.05,13.53,16.8
24.82,30.35,41.08,24.82,30.35,41.08,13.56,16.79
24.82,30.39,41.1,24.82,30.39,41.1,13.57,16.82
24.82,30.43,41.13,24.82,30.43,41.13,13.59,16.84
24.82,30.48,41.14,24.82,30.48,41.14,13.59,16.89
24.82,30.53,41.15,24.82,30.53,41.15,13.56,16.97
24.82,30.56,41.14,24.82,30.56,41.14,13.56,17
24.82,30.59,41.12,24.82,30.59,41.12,13.54,17.05
24.82,30.61,41.1,24.82,30.61,41.1,13.54,17.07
24.82,30.59,41.1,24.82,30.59,41.1,13.57,17.02
24.82,30.61,41.12,24.82,30.61,41.12,13.57,17.04
24.82,30.62,41.15,24.82,30.62,41.15,13.56,17.06
24.82,30.63,41.18,24.82,30.63,41.18,13.53,17.1
24.82,30.64,41.19,24.82,30.64,41.19,13.47,17.17
24.82,30.62,41.2,24.82,30.62,41.2,13.43,17.19
24.82,30.54,41.2,24.82,30.54,41.2,13.39,17.15
24.82,30.43,41.18,24.82,30.43,41.18,13.38,17.05
24.82,30.34,41.16,24.82,30.34,41.16,13.36,16.98
24.82,30.27,41.14,24.82,30.27,41.14,13.36,16.91
24.82,30.21,41.14,24.82,30.21,41.14,13.36,16.85
24.82,30.12,41.15,24.82,30.12,41.15,13.36,16.76
24.82,30.05,41.17,24.82,30.05,41.17,13.36,16.69
24.82,30,41.18,24.82,30,41.18,13.34,16.66
24.82,29.99,41.18,24.82,29.99,41.18,13.34,16.65
24.83,29.99,41.18,24.83,29.99,41.18,13.34,16.65
24.83,29.99,41.16,24.83,29.99,41.16,13.37,16.62
24.83,29.99,41.13,24.83,29.99,41.13,13.39,16.6
24.83,29.99,41.11,24.83,29.99,41.11,13.4,16.59
24.83,29.99,41.09,24.83,29.99,41.09,13.45,16.54
24.84,29.99,41.1,24.84,29.99,41.1,13.45,16.54
24.84,30,41.12,24.84,30,41.12,13.48,16.52
24.84,30.02,41.13,24.84,30.02,41.13,13.48,16.54
24.84,30.04,41.15,24.84,30.04,41.15,13.48,16.56
24.84,30.08,41.15,24.84,30.08,41.15,13.47,16.61
24.84,30.12,41.15,24.84,30.12,41.15,13.47,16.65
24.84,30.14,41.13,24.84,30.14,41.13,13.46,16.68
24.84,30.21,41.11,24.84,30.21,41.11,13.47,16.74
24.84,30.27,41.09,24.84,30.27,41.09,13.51,16.76
24.84,30.32,41.09,24.84,30.32,41.09,13.54,16.78
24.84,30.37,41.11,24.84,30.37,41.11,13.55,16.82
24.84,30.43,41.13,24.84,30.43,41.13,13.54,16.89
24.84,30.46,41.15,24.84,30.46,41.15,13.51,16.95
24.84,30.46,41.16,24.84,30.46,41.16,13.47,16.99
24.84,30.45,41.16,24.84,30.45,41.16,13.43,17.02
24.84,30.39,41.15,24.84,30.39,41.15,13.39,17
24.84,30.29,41.12,24.84,30.29,41.12,13.36,16.93
24.84,30.18,41.1,24.84,30.18,41.1,13.36,16.82
24.85,30.12,41.08,24.85,30.12,41.08,13.39,16.73
24.85,30.1,41.08,24.85,30.1,41.08,13.45,16.65
24.85,30.1,41.1,24.85,30.1,41.1,13.52,16.58
24.85,30.11,41.13,24.85,30.11,41.13,13.57,16.54
24.85,30.12,41.15,24.85,30.12,41.15,13.59,16.53
24.85,30.16,41.16,24.85,30.16,41.16,13.62,16.54
24.85,30.21,41.17,24.85,30.21,41.17,13.63,16.58
24.85,30.25,41.16,24.85,30.25,41.16,13.63,16.62
24.85,30.31,41.15,24.85,30.31,41.15,13.66,16.65
24.85,30.33,41.14,24.85,30.33,41.14,13.71,16.62
24.85,30.37,41.14,24.85,30.37,41.14,13.75,16.62
24.85,30.41,41.16,24.85,30.41,41.16,13.75,16.66
24.85,30.41,41.19,24.85,30.41,41.19,13.71,16.7
24.85,30.44,41.22,24.85,30.44,41.22,13.7,16.74
24.85,30.45,41.24,24.85,30.45,41.24,13.66,16.79
24.85,30.5,41.25,24.85,30.5,41.25,13.66,16.84
24.85,30.55,41.26,24.85,30.55,41.26,13.68,16.87
24.85,30.6,41.25,24.85,30.6,41.25,13.69,16.91
24.85,30.65,41.24,24.85,30.65,41.24,13.72,16.93
24.85,30.7,41.23,24.85,30.7,41.23,13.73,16.97
24.85,30.73,41.23,24.85,30.73,41.23,13.76,16.97
24.84,30.73,41.25,24.84,30.73,41.25,13.76,16.97
24.84,30.74,41.28,24.84,30.74,41.28,13.75,16.99
24.84,30.75,41.3,24.84,30.75,41.3,13.7,17.05
24.84,30.75,41.32,24.84,30.75,41.32,13.64,17.11
24.84,30.78,41.33,24.84,30.78,41.33,13.58,17.2
24.84,30.83,41.32,24.84,30.83,41.32,13.57,17.26
24.84,30.91,41.31,24.84,30.91,41.31,13.54,17.37
24.84,30.95,41.29,24.84,30.95,41.29,13.55,17.4
24.84,30.99,41.27,24.84,30.99,41.27,13.56,17.43
24.83,31,41.27,24.83,31,41.27,13.59,17.41
24.83,31,41.29,24.83,31,41.29,13.58,17.42
24.83,30.98,41.31,24.83,30.98,41.31,13.55,17.43
24.83,30.97,41.33,24.83,30.97,41.33,13.49,17.48
24.83,30.9,41.34,24.83,30.9,41.34,13.4,17.5
24.83,30.79,41.33,24.83,30.79,41.33,13.33,17.46
24.83,30.64,41.32,24.83,30.64,41.32,13.29,17.35
24.83,30.52,41.3,24.83,30.52,41.3,13.26,17.26
24.83,30.4,41.27,24.83,30.4,41.27,13.23,17.17
24.83,30.3,41.25,24.83,30.3,41.25,13.25,17.05
24.83,30.21,41.24,24.83,30.21,41.24,13.27,16.94
24.83,30.15,41.25,24.83,30.15,41.25,13.29,16.86
24.83,30.12,41.26,24.83,30.12,41.26,13.29,16.83
24.83,30.09,41.27,24.83,30.09,41.27,13.3,16.79
24.84,30.11,41.28,24.84,30.11,41.28,13.32,16.79
24.84,30.12,41.28,24.84,30.12,41.28,13.34,16.78
24.84,30.15,41.26,24.84,30.15,41.26,13.37,16.78
24.84,30.2,41.24,24.84,30.2,41.24,13.38,16.82
24.84,30.24,41.21,24.84,30.24,41.21,13.4,16.84
24.84,30.29,41.2,24.84,30.29,41.2,13.42,16.87
24.84,30.33,41.2,24.84,30.33,41.2,13.42,16.91
24.84,30.37,41.21,24.84,30.37,41.21,13.44,16.93
24.84,30.38,41.23,24.84,30.38,41.23,13.44,16.94
24.84,30.37,41.25,24.84,30.37,41.25,13.43,16.94
24.84,30.34,41.25,24.84,30.34,41.25,13.45,16.89
24.84,30.32,41.25,24.84,30.32,41.25,13.46,16.86
24.84,30.31,41.25,24.84,30.31,41.25,13.46,16.85
24.84,30.31,41.22,24.84,30.31,41.22,13.45,16.86
24.84,30.32,41.2,24.84,30.32,41.2,13.43,16.89
24.84,30.34,41.19,24.84,30.34,41.19,13.43,16.91
24.84,30.36,41.19,24.84,30.36,41.19,13.45,16.91
24.84,30.4,41.2,24.84,30.4,41.2,13.48,16.92
24.84,30.42,41.22,24.84,30.42,41.22,13.48,16.94
24.84,30.44,41.24,24.84,30.44,41.24,13.49,16.95
24.84,30.46,41.25,24.84,30.46,41.25,13.52,16.94
24.85,30.48,41.26,24.85,30.48,41.26,13.55,16.93
24.85,30.5,41.25,24.85,30.5,41.25,13.56,16.94
24.85,30.52,41.24,24.85,30.52,41.24,13.59,16.93
24.85,30.53,41.22,24.85,30.53,41.22,13.6,16.93
24.85,30.55,41.22,24.85,30.55,41.22,13.63,16.92
24.85,30.57,41.23,24.85,30.57,41.23,13.64,16.93
24.85,30.58,41.25,24.85,30.58,41.25,13.64,16.94
24.85,30.59,41.28,24.85,30.59,41.28,13.63,16.96
24.84,30.61,41.31,24.84,30.61,41.31,13.62,16.99
24.84,30.61,41.32,24.84,30.61,41.32,13.6,17.01
24.84,30.63,41.33,24.84,30.63,41.33,13.58,17.05
24.84,30.64,41.33,24.84,30.64,41.33,13.55,17.09
24.84,30.65,41.31,24.84,30.65,41.31,13.55,17.1
24.84,30.65,41.3,24.84,30.65,41.3,13.58,17.07
24.84,30.65,41.3,24.84,30.65,41.3,13.61,17.04
24.84,30.64,41.31,24.84,30.64,41.31,13.62,17.02
24.84,30.64,41.33,24.84,30.64,41.33,13.6,17.04
24.84,30.65,41.36,24.84,30.65,41.36,13.53,17.12
24.84,30.65,41.38,24.84,30.65,41.38,13.47,17.18
24.84,30.66,41.39,24.84,30.66,41.39,13.4,17.26
24.84,30.67,41.39,24.84,30.67,41.39,13.36,17.31
24.84,30.66,41.38,24.84,30.66,41.38,13.32,17.34
24.84,30.66,41.36,24.84,30.66,41.36,13.3,17.36
24.83,30.66,41.33,24.83,30.66,41.33,13.28,17.38
24.83,30.68,41.32,24.83,30.68,41.32,13.26,17.42
24.83,30.65,41.32,24.83,30.65,41.32,13.24,17.41
24.83,30.61,41.33,24.83,30.61,41.33,13.22,17.39
24.83,30.57,41.35,24.83,30.57,41.35,13.19,17.38
24.83,30.55,41.36,24.83,30.55,41.36,13.18,17.37
24.83,30.52,41.36,24.83,30.52,41.36,13.21,17.31
24.83,30.49,41.36,24.83,30.49,41.36,13.25,17.24
24.83,30.47,41.34,24.83,30.47,41.34,13.27,17.2
24.83,30.46,41.32,24.83,30.46,41.32,13.28,17.18
24.83,30.47,41.29,24.83,30.47,41.29,13.27,17.2
24.83,30.45,41.28,24.83,30.45,41.28,13.28,17.17
24.83,30.41,41.28,24.83,30.41,41.28,13.29,17.12
24.83,30.35,41.3,24.83,30.35,41.3,13.27,17.08
24.83,30.31,41.31,24.83,30.31,41.31,13.25,17.06
24.83,30.3,41.32,24.83,30.3,41.32,13.24,17.06
24.83,30.3,41.33,24.83,30.3,41.33,13.25,17.05
24.83,30.33,41.32,24.83,30.33,41.32,13.27,17.06
24.83,30.36,41.3,24.83,30.36,41.3,13.31,17.05
24.83,30.4,41.28,24.83,30.4,41.28,13.35,17.05
24.83,30.42,41.26,24.83,30.42,41.26,13.39,17.03
24.83,30.46,41.25,24.83,30.46,41.25,13.45,17.01
24.83,30.48,41.26,24.83,30.48,41.26,13.45,17.03
24.83,30.52,41.28,24.83,30.52,41.28,13.43,17.09
24.83,30.54,41.3,24.83,30.54,41.3,13.41,17.13
24.83,30.55,41.31,24.83,30.55,41.31,13.39,17.16
24.83,30.55,41.32,24.83,30.55,41.32,13.39,17.16
24.83,30.55,41.31,24.83,30.55,41.31,13.39,17.16
24.84,30.56,41.3,24.84,30.56,41.3,13.41,17.15
24.84,30.56,41.28,24.84,30.56,41.28,13.44,17.12
24.84,30.57,41.26,24.84,30.57,41.26,13.46,17.11
24.84,30.59,41.26,24.84,30.59,41.26,13.47,17.12
24.84,30.58,41.27,24.84,30.58,41.27,13.43,17.15
24.84,30.6,41.29,24.84,30.6,41.29,13.39,17.21
24.84,30.55,41.31,24.84,30.55,41.31,13.33,17.22
24.84,30.45,41.32,24.84,30.45,41.32,13.28,17.17
24.83,30.31,41.32,24.83,30.31,41.32,13.24,17.07
24.84,30.2,41.31,24.84,30.2,41.31,13.23,16.97
24.84,30.11,41.29,24.84,30.11,41.29,13.26,16.85
24.84,30.08,41.26,24.84,30.08,41.26,13.28,16.8
24.84,30.11,41.24,24.84,30.11,41.24,13.3,16.81
24.84,30.15,41.23,24.84,30.15,41.23,13.32,16.83
24.84,30.17,41.24,24.84,30.17,41.24,13.31,16.86
24.84,30.17,41.25,24.84,30.17,41.25,13.29,16.88
24.84,30.16,41.26,24.84,30.16,41.26,13.28,16.88
24.84,30.14,41.27,24.84,30.14,41.27,13.24,16.9
24.84,30.11,41.26,24.84,30.11,41.26,13.21,16.9
24.85,30.09,41.25,24.85,30.09,41.25,13.18,16.91
24.85,30.07,41.23,24.85,30.07,41.23,13.16,16.91
24.85,30.07,41.2,24.85,30.07,41.2,13.16,16.91
24.85,30.1,41.18,24.85,30.1,41.18,13.15,16.95
24.85,30.13,41.18,24.85,30.13,41.18,13.18,16.95
24.85,30.19,41.19,24.85,30.19,41.19,13.21,16.98
24.85,30.24,41.21,24.85,30.24,41.21,13.25,16.99
24.85,30.29,41.22,24.85,30.29,41.22,13.26,17.03
24.85,30.33,41.23,24.85,30.33,41.23,13.27,17.06
24.85,30.36,41.23,24.85,30.36,41.23,13.25,17.11
24.85,30.37,41.22,24.85,30.37,41.22,13.24,17.13
24.85,30.36,41.2,24.85,30.36,41.2,13.22,17.14
24.85,30.35,41.17,24.85,30.35,41.17,13.23,17.12
24.85,30.34,41.16,24.85,30.34,41.16,13.25,17.09
24.85,30.37,41.17,24.85,30.37,41.17,13.29,17.08
24.85,30.4,41.19,24.85,30.4,41.19,13.33,17.07
24.85,30.43,41.21,24.85,30.43,41.21,13.37,17.06
24.85,30.49,41.23,24.85,30.49,41.23,13.41,17.08
24.85,30.54,41.24,24.85,30.54,41.24,13.44,17.1
24.85,30.58,41.24,24.85,30.58,41.24,13.46,17.12
24.85,30.62,41.23,24.85,30.62,41.23,13.43,17.19
24.85,30.63,41.21,24.85,30.63,41.21,13.39,17.24
24.85,30.59,41.19,24.85,30.59,41.19,13.39,17.2
24.85,30.53,41.18,24.85,30.53,41.18,13.41,17.12
24.85,30.47,41.19,24.85,30.47,41.19,13.43,17.04
24.85,30.43,41.21,24.85,30.43,41.21,13.41,17.02
24.85,30.39,41.23,24.85,30.39,41.23,13.38,17.01
24.85,30.4,41.25,24.85,30.4,41.25,13.35,17.05
24.85,30.39,41.25,24.85,30.39,41.25,13.33,17.06
24.85,30.39,41.25,24.85,30.39,41.25,13.33,17.06
24.85,30.42,41.24,24.85,30.42,41.24,13.34,17.08
24.85,30.43,41.23,24.85,30.43,41.23,13.36,17.07
24.85,30.45,41.21,24.85,30.45,41.21,13.38,17.07
24.85,30.47,41.21,24.85,30.47,41.21,13.37,17.1
24.85,30.49,41.23,24.85,30.49,41.23,13.37,17.12
24.85,30.48,41.25,24.85,30.48,41.25,13.34,17.14
24.85,30.45,41.27,24.85,30.45,41.27,13.31,17.14
24.85,30.43,41.28,24.85,30.43,41.28,13.27,17.16
24.85,30.4,41.29,24.85,30.4,41.29,13.24,17.16
24.85,30.34,41.28,24.85,30.34,41.28,13.23,17.11
24.86,30.34,41.26,24.86,30.34,41.26,13.22,17.12
24.86,30.35,41.24,24.86,30.35,41.24,13.24,17.11
24.86,30.39,41.22,24.86,30.39,41.22,13.26,17.13
24.86,30.43,41.22,24.86,30.43,41.22,13.32,17.11
24.86,30.45,41.24,24.86,30.45,41.24,13.38,17.07
24.86,30.47,41.26,24.86,30.47,41.26,13.42,17.05
24.87,30.48,41.29,24.87,30.48,41.29,13.45,17.03
24.87,30.52,41.3,24.87,30.52,41.3,13.47,17.05
24.87,30.54,41.31,24.87,30.54,41.31,13.49,17.05
24.87,30.54,41.3,24.87,30.54,41.3,13.5,17.04
24.87,30.54,41.29,24.87,30.54,41.29,13.51,17.03
24.87,30.52,41.27,24.87,30.52,41.27,13.53,16.99
24.87,30.54,41.26,24.87,30.54,41.26,13.56,16.98
24.87,30.53,41.27,24.87,30.53,41.27,13.59,16.94
24.87,30.55,41.29,24.87,30.55,41.29,13.58,16.97
24.87,30.56,41.31,24.87,30.56,41.31,13.55,17.01
24.87,30.57,41.34,24.87,30.57,41.34,13.55,17.02
24.88,30.59,41.35,24.88,30.59,41.35,13.57,17.02
24.88,30.59,41.36,24.88,30.59,41.36,13.59,17
24.88,30.61,41.35,24.88,30.61,41.35,13.6,17.01
24.88,30.62,41.34,24.88,30.62,41.34,13.61,17.01
24.88,30.65,41.32,24.88,30.65,41.32,13.62,17.03
24.88,30.66,41.32,24.88,30.66,41.32,13.65,17.01
24.88,30.7,41.33,24.88,30.7,41.33,13.67,17.03
24.88,30.72,41.36,24.88,30.72,41.36,13.68,17.04
24.88,30.73,41.38,24.88,30.73,41.38,13.66,17.07
24.88,30.74,41.4,24.88,30.74,41.4,13.6,17.14
24.88,30.75,41.41,24.88,30.75,41.41,13.54,17.21
24.88,30.74,41.41,24.88,30.74,41.41,13.44,17.3
24.88,30.71,41.39,24.88,30.71,41.39,13.36,17.35
24.88,30.62,41.37,24.88,30.62,41.37,13.32,17.3
24.88,30.51,41.34,24.88,30.51,41.34,13.27,17.24
24.88,30.4,41.33,24.88,30.4,41.33,13.28,17.12
24.88,30.3,41.32,24.88,30.3,41.32,13.29,17.01
